,weekofyear,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_relative_humidity_percent,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_min_temp_c,city,year,week_start_date
15,33.0,0.11791154915000003,0.1280333,0.2069571,0.1682429,299.958571429,299.957142857,297.035714286,302.6,298.5,84.1785714286,18.5157142857,1.85714285714,28.0428571429,6.68571428571,22.8,sj,1990,1990-08-13
16,34.0,0.1902333,0.1688,0.1676571,0.1722857,300.332857143,300.414285714,296.728571429,302.5,298.1,80.9471428571,18.1742857143,2.48571428571,28.3428571429,7.01428571429,23.3,sj,1990,1990-08-20
17,35.0,0.2529,0.33075,0.2641714,0.2843143,300.118571429,300.221428571,297.017142857,302.2,298.7,83.3485714286,18.5157142857,1.9,28.6571428571,6.52857142857,24.4,sj,1990,1990-08-27
18,36.0,0.2354,0.200025,0.2838167,0.2304429,300.53,300.635714286,296.117142857,303.8,298.0,77.1728571429,17.56,3.47142857143,28.3285714286,7.61428571429,23.3,sj,1990,1990-09-03
19,37.0,0.1279667,0.4371,0.1234,0.1482833,300.674285714,300.792857143,297.192857143,302.9,299.0,81.5514285714,18.7771428571,2.9,28.6857142857,8.05714285714,24.4,sj,1990,1990-09-10
20,38.0,0.19635,0.1824333,0.2548286,0.3056857,299.857142857,299.9,296.431428571,301.7,298.7,81.6371428571,17.8928571429,1.74285714286,28.2428571429,8.11428571429,23.9,sj,1990,1990-09-17
21,39.0,0.1161,0.2609,0.1994429,0.2442167,300.427142857,300.6,296.028571429,302.4,299.1,77.0485714286,17.4685714286,2.25714285714,28.3428571429,7.72857142857,24.4,sj,1990,1990-09-24
22,40.0,0.22855,0.18975,0.2124857,0.2011857,300.775714286,300.85,296.664285714,303.3,299.1,78.52,18.18,2.9,28.7714285714,8.02857142857,23.9,sj,1990,1990-10-01
23,41.0,0.17115,0.06755,0.1794667,0.1577167,299.857142857,299.942857143,296.928571429,301.8,298.1,84.11,18.5128571429,2.57142857143,28.6285714286,7.31428571429,24.4,sj,1990,1990-10-08
24,42.0,0.1008037736500001,0.0702,0.1816167,0.16575,299.195714286,299.307142857,296.544285714,301.5,297.5,85.6214285714,18.1157142857,1.87142857143,27.6285714286,7.4,23.3,sj,1990,1990-10-15
25,43.0,0.1462,0.08975,0.1288286,0.1239286,298.902857143,299.042857143,296.257142857,300.9,297.2,85.5028571429,17.75,1.8,26.7714285714,7.62857142857,21.7,sj,1990,1990-10-22
26,44.0,0.25225,0.1834333,0.318,0.2959,299.727142857,299.778571429,296.534285714,301.4,298.5,82.7871428571,18.0342857143,1.78571428571,27.9714285714,8.64285714286,22.8,sj,1990,1990-10-29
27,45.0,0.1526,0.181775,0.1783286,0.1866286,299.972857143,300.035714286,296.564285714,302.2,298.5,81.7157142857,18.0742857143,2.38571428571,28.4714285714,8.42857142857,23.9,sj,1990,1990-11-05
28,46.0,0.2908,0.2246,0.1803857,0.2348857,300.35,300.5,295.687142857,302.3,298.8,75.7285714286,17.0857142857,2.2,27.5428571429,8.6,22.2,sj,1990,1990-11-12
29,47.0,0.2722,0.33035,0.1316333,0.1253833,299.511428571,299.635714286,295.375714286,301.6,297.0,78.1514285714,16.7528571429,2.52857142857,26.8,7.41428571429,22.2,sj,1990,1990-11-19
30,48.0,0.1367667,0.216525,0.1767857,0.1415857,298.238571429,298.264285714,294.811428571,300.2,296.5,81.3857142857,16.2085714286,1.98571428571,26.2,7.12857142857,20.6,sj,1990,1990-11-26
31,49.0,0.1098,0.0886,0.2667833,0.2517,298.542857143,298.685714286,294.782857143,300.8,296.7,79.9085714286,16.1614285714,2.05714285714,25.9857142857,5.54285714286,22.2,sj,1990,1990-12-03
32,50.0,0.12135,0.26166,0.1913857,0.2099857,298.202857143,298.278571429,292.004285714,300.6,296.1,68.7228571429,13.6157142857,2.98571428571,24.6857142857,7.77142857143,19.4,sj,1990,1990-12-10
33,51.0,0.2931333,0.2668667,0.2608571,0.3027286,298.297142857,298.378571429,294.558571429,300.9,296.0,80.0828571429,15.9542857143,2.87142857143,25.7142857143,6.58571428571,21.1,sj,1990,1990-12-17
34,52.0,0.3025,0.2772333,0.1712667,0.1616222,298.038571429,298.085714286,292.105714286,299.8,295.3,69.6814285714,13.6828571429,2.28571428571,25.1571428571,5.84285714286,21.1,sj,1990,1990-12-24
35,1.0,0.1465,0.1404667,0.1515,0.1673143,297.06,297.135714286,291.907142857,299.0,293.9,72.9385714286,13.5114285714,2.52857142857,24.3857142857,7.45714285714,18.9,sj,1991,1991-01-01
36,2.0,0.11035407334999998,0.1004667,0.2519,0.1376167,297.674285714,297.828571429,293.282857143,299.3,295.8,76.6285714286,14.6714285714,1.88571428571,24.9142857143,6.31428571429,21.1,sj,1991,1991-01-08
37,3.0,0.22379297649999993,0.2935667,0.2599429,0.2179,297.422857143,297.657142857,293.412857143,299.3,296.1,78.5,14.7985714286,2.0,25.2428571429,6.57142857143,21.1,sj,1991,1991-01-15
38,4.0,0.3313,0.3093333,0.2210286,0.2027571,297.884285714,298.15,292.382857143,300.3,296.0,71.5971428571,13.8785714286,2.55714285714,24.7142857143,7.77142857143,18.3,sj,1991,1991-01-22
39,5.0,0.0917,0.246425,0.2438571,0.1956,298.044285714,298.228571429,292.572857143,300.1,295.0,71.7842857143,14.0442857143,2.77142857143,24.8285714286,8.15714285714,18.9,sj,1991,1991-01-29
40,6.0,0.3801,0.2285667,0.2550429,0.2258,297.74,297.928571429,293.15,299.7,295.0,75.7942857143,14.5414285714,2.42857142857,25.0571428571,6.88571428571,20.6,sj,1991,1991-02-05
41,7.0,0.0712,0.2211,0.2762429,0.2673429,296.884285714,297.114285714,292.972857143,300.2,294.1,78.8957142857,14.46,3.2,25.1428571429,8.87142857143,18.9,sj,1991,1991-02-12
42,8.0,0.17171721080000005,0.2094,0.1084333,0.1194,297.414285714,297.614285714,293.631428571,300.1,295.8,79.74,15.0357142857,2.57142857143,25.8428571429,8.47142857143,20.0,sj,1991,1991-02-19
43,9.0,0.1702,0.2086,0.13752,0.1914333,297.505714286,297.828571429,293.407142857,299.8,295.8,77.9771428571,14.7942857143,2.11428571429,25.2571428571,7.2,20.0,sj,1991,1991-02-26
44,10.0,0.21075,0.2641,0.2476857,0.2163571,297.777142857,298.078571429,293.531428571,300.3,296.4,77.3157142857,14.92,2.24285714286,26.0142857143,8.31428571429,20.6,sj,1991,1991-03-05
45,11.0,0.015287541154999995,0.09672993320000002,0.21325,0.2405429,297.431428571,297.635714286,293.335714286,300.1,295.7,78.1385714286,14.7871428571,2.72857142857,25.9285714286,8.97142857143,20.6,sj,1991,1991-03-12
46,12.0,0.1279,0.1784,0.1470143,0.1593,297.407142857,297.614285714,293.254285714,300.4,295.4,77.8828571429,14.7457142857,2.54285714286,26.0857142857,6.97142857143,21.1,sj,1991,1991-03-19
47,13.0,0.28035,0.223575,0.2478833,0.2473857,297.47,297.692857143,293.74,301.0,295.7,80.0014285714,15.1485714286,2.75714285714,26.0571428571,6.58571428571,22.2,sj,1991,1991-03-26
48,14.0,0.1691,0.216825,0.2605143,0.2219714,297.064285714,297.185714286,292.48,299.4,295.4,75.6628571429,13.9914285714,2.28571428571,25.2428571429,6.81428571429,20.6,sj,1991,1991-04-02
49,15.0,0.1765,0.2763,0.1845333,0.1773667,297.372857143,297.657142857,293.615714286,299.2,295.9,79.6285714286,14.9928571429,2.62857142857,25.3,6.51428571429,21.1,sj,1991,1991-04-09
50,16.0,0.0774,0.1024,0.16355,0.2061667,297.284285714,297.392857143,292.17,298.9,296.0,73.3514285714,13.7328571429,2.01428571429,25.5142857143,6.27142857143,21.1,sj,1991,1991-04-16
51,17.0,0.1553867509500001,0.18845,0.1883143,0.2249429,298.074285714,298.235714286,294.028571429,299.6,296.7,78.4471428571,15.4614285714,2.3,26.5285714286,8.01428571429,21.7,sj,1991,1991-04-23
52,18.0,0.2091667,0.160575,0.1761714,0.1761714,298.831428571,299.071428571,294.97,301.0,297.1,79.36,16.3142857143,2.8,27.3142857143,7.71428571429,22.8,sj,1991,1991-04-30
53,19.0,0.11595,0.180175,0.1063857,0.1111857,298.638571429,298.721428571,294.812857143,300.9,297.2,79.5414285714,16.1857142857,2.41428571429,26.9285714286,6.92857142857,22.8,sj,1991,1991-05-07
54,20.0,0.09786438380000011,0.10455,0.15115,0.0964,298.325714286,298.407142857,294.618571429,300.1,296.6,80.0671428571,15.9742857143,2.5,26.5285714286,6.58571428571,22.8,sj,1991,1991-05-14
55,21.0,0.0669,0.1335667,0.09711667,0.1356,298.584285714,298.457142857,295.124285714,300.4,297.0,81.3014285714,16.5014285714,1.85714285714,27.3857142857,6.7,22.8,sj,1991,1991-05-21
56,22.0,0.1401,0.1594667,0.2143167,0.2571,298.808571429,298.885714286,295.274285714,301.1,297.3,81.0885714286,16.6457142857,2.14285714286,27.9428571429,7.01428571429,23.3,sj,1991,1991-05-28
57,23.0,0.08585,0.087,0.1196,0.1659286,299.518571429,299.75,294.925714286,301.6,297.4,76.0742857143,16.3242857143,2.87142857143,28.0714285714,7.5,23.3,sj,1991,1991-06-04
58,24.0,0.1091,0.1564667,0.1734286,0.1739714,299.891428571,300.071428571,295.492857143,301.8,298.4,77.0357142857,16.8828571429,2.4,28.2285714286,7.97142857143,23.9,sj,1991,1991-06-11
59,25.0,0.0596,0.09235,0.1301286,0.1306429,299.775714286,299.971428571,296.3,301.9,298.4,81.4214285714,17.7042857143,2.17142857143,28.9285714286,7.14285714286,25.0,sj,1991,1991-06-18
60,26.0,0.07965,0.122,0.1851143,0.1582429,299.41,299.478571429,296.228571429,302.5,297.7,82.7457142857,17.6285714286,2.04285714286,27.9142857143,7.4,22.8,sj,1991,1991-06-25
61,27.0,0.14843444370000003,0.1779333,0.2015286,0.1981571,299.371428571,299.385714286,295.945714286,302.4,297.4,81.6942857143,17.3528571429,2.14285714286,28.3714285714,6.6,23.9,sj,1991,1991-07-02
62,28.0,0.0969,0.09823343490000001,0.13805,0.1679167,300.001428571,300.171428571,295.791428571,302.1,297.9,77.8771428571,17.1514285714,2.42857142857,28.4142857143,6.67142857143,24.4,sj,1991,1991-07-09
63,29.0,0.0615092833,0.07733333,0.09982857,0.1166429,300.234285714,300.342857143,296.081428571,302.2,298.6,78.2414285714,17.4728571429,2.42857142857,28.8,6.91428571429,23.9,sj,1991,1991-07-16
64,30.0,0.0801,0.00805,0.1380333,0.1290667,299.808571429,299.978571429,296.332857143,302.1,298.2,81.4828571429,17.7342857143,2.24285714286,28.0,5.88571428571,24.4,sj,1991,1991-07-23
65,31.0,0.006998350099999994,0.06049218402999999,0.1906429,0.1593286,299.852857143,299.964285714,296.478571429,302.0,298.3,81.8971428571,17.8785714286,2.3,28.5714285714,6.34285714286,25.0,sj,1991,1991-07-30
66,32.0,0.07315,0.1124,0.1925857,0.2093571,299.831428571,299.864285714,296.468571429,301.8,298.1,81.96,17.8957142857,2.24285714286,28.5,6.51428571429,24.4,sj,1991,1991-08-06
67,33.0,0.0593,0.04148135076,0.1551,0.1567,300.42,300.65,296.484285714,302.8,298.7,79.1971428571,17.9114285714,2.18571428571,29.4285714286,5.47142857143,25.6,sj,1991,1991-08-13
68,34.0,0.0569,0.09814,0.1285143,0.1437286,300.311428571,300.385714286,296.581428571,302.6,298.3,80.2557142857,18.0114285714,2.4,29.2714285714,7.51428571429,24.4,sj,1991,1991-08-20
69,35.0,0.0693,0.05705,0.22504,0.1864,300.117142857,300.2,296.67,302.3,298.6,81.5942857143,18.0914285714,2.37142857143,28.1571428571,7.0,23.9,sj,1991,1991-08-27
70,36.0,0.10805,0.091675,0.1398,0.1624143,300.105714286,300.15,296.798571429,302.3,298.4,82.31,18.2628571429,2.12857142857,28.9428571429,7.54285714286,24.4,sj,1991,1991-09-03
71,37.0,0.10475,0.1598333,0.11208,0.1446429,300.54,300.635714286,296.451428571,302.8,298.7,78.6271428571,17.8957142857,3.04285714286,28.9714285714,7.7,23.3,sj,1991,1991-09-10
72,38.0,0.1098,0.1527333,0.1685714,0.1688714,300.527142857,300.6,296.901428571,303.0,298.8,80.8771428571,18.4,2.45714285714,28.9142857143,6.8,24.4,sj,1991,1991-09-17
73,39.0,0.1676,0.1489,0.1714286,0.2181429,300.06,300.05,296.59,302.4,298.2,81.4242857143,18.0442857143,2.07142857143,28.1428571429,6.68571428571,24.4,sj,1991,1991-09-24
74,40.0,0.1291,0.16672,0.177,0.1955571,299.65,299.692857143,296.397142857,301.6,298.3,82.4857142857,17.85,2.04285714286,27.7428571429,6.91428571429,23.3,sj,1991,1991-10-01
75,41.0,0.093,0.093,0.1450833,0.1681667,299.562857143,299.671428571,295.887142857,302.0,297.6,80.5157142857,17.3442857143,2.25714285714,27.6571428571,6.61428571429,22.8,sj,1991,1991-10-08
76,42.0,0.0137,0.12886,0.1090429,0.1070286,299.897142857,299.921428571,296.018571429,302.0,298.1,79.3828571429,17.4314285714,2.3,28.5428571429,7.62857142857,24.4,sj,1991,1991-10-15
77,43.0,0.1944,0.1186,0.1808143,0.1998714,299.891428571,299.992857143,295.455714286,302.0,298.0,76.7771428571,16.85,2.81428571429,27.8285714286,7.08571428571,23.3,sj,1991,1991-10-22
78,44.0,0.094,0.09665,0.1255667,0.1213167,299.905714286,299.992857143,295.918571429,302.4,298.1,78.9871428571,17.3757142857,3.04285714286,28.1142857143,7.25714285714,24.4,sj,1991,1991-10-29
79,45.0,0.0544,0.05475,0.1121333,0.1193857,299.09,299.278571429,295.567142857,302.6,297.3,81.0585714286,16.9671428571,2.9,27.1857142857,6.75714285714,22.8,sj,1991,1991-11-05
80,46.0,0.0954,0.1114,0.1949429,0.1980571,298.685714286,298.785714286,295.615714286,301.0,297.4,83.5142857143,17.0614285714,1.97142857143,26.6571428571,6.74285714286,22.2,sj,1991,1991-11-12
81,47.0,0.00825,0.028425,0.1387429,0.1796429,298.698571429,298.707142857,294.03,300.8,297.1,75.5485714286,15.46,2.27142857143,26.3142857143,6.81428571429,22.2,sj,1991,1991-11-19
82,48.0,0.08786667,0.1519,0.1796286,0.1661857,298.375714286,298.5,294.938571429,301.1,296.9,81.4857142857,16.3228571429,2.02857142857,26.2714285714,6.58571428571,22.2,sj,1991,1991-11-26
83,49.0,0.0802,0.14025,0.1336286,0.1344571,298.642857143,298.842857143,294.974285714,300.5,297.7,80.2757142857,16.34,1.8,26.7285714286,6.05714285714,23.3,sj,1991,1991-12-03
84,50.0,-0.02665,0.2128,0.2224143,0.2289429,298.518571429,298.592857143,294.514285714,300.2,297.3,78.6214285714,15.8842857143,2.01428571429,25.6142857143,5.85714285714,21.7,sj,1991,1991-12-10
85,51.0,0.011214696550000009,0.04613333,0.1144,0.04045714,298.084285714,298.135714286,292.865714286,299.6,296.6,72.8614285714,14.3357142857,2.07142857143,25.0,6.15714285714,20.6,sj,1991,1991-12-17
86,52.0,0.12355,0.1237,0.1379333,0.1297556,296.521428571,296.507142857,292.045714286,299.2,294.3,76.1271428571,13.6357142857,2.21428571429,24.3571428571,6.18571428571,19.4,sj,1991,1991-12-24
87,1.0,0.1251,0.1578667,0.1852833,0.1813667,295.4322642857844,295.65349999995453,290.1710928573051,300.16699999999986,291.0409999999999,74.3186928571355,12.096057142841994,4.235285714286102,23.553857142867983,5.908214285714546,18.152000000000005,sj,1992,1992-01-01
88,2.0,0.1008333,0.073575,0.1387143,0.1127857,297.912857143,298.121428571,294.457142857,300.4,296.1,81.3,15.8785714286,2.3,25.6571428571,7.5,20.6,sj,1992,1992-01-08
89,3.0,0.2224,0.2299,0.1984571,0.1994143,297.338571429,297.485714286,294.467142857,300.2,295.6,84.1171428571,15.8328571429,1.85714285714,25.4714285714,6.17142857143,21.7,sj,1992,1992-01-15
90,4.0,0.1225333,0.13105,0.1888429,0.1688714,297.091428571,297.335714286,293.021428571,299.5,295.6,78.2914285714,14.4828571429,2.35714285714,24.8571428571,7.44285714286,20.0,sj,1992,1992-01-22
91,5.0,0.028852965365000025,0.0483,0.1736714,0.1919286,297.42,297.55,292.718571429,299.3,295.5,75.22,14.1857142857,2.44285714286,24.8,6.58571428571,20.0,sj,1992,1992-01-29
92,6.0,0.1016,0.0846,0.1117167,0.1879571,296.92,297.128571429,292.617142857,300.7,294.5,77.0585714286,14.1228571429,3.4,24.7142857143,7.35714285714,20.0,sj,1992,1992-02-05
93,7.0,0.12470268735000013,0.1305,0.1957429,0.1788571,297.798571429,298.057142857,294.65,300.2,295.3,82.8757142857,16.06,2.2,26.0285714286,6.57142857143,20.0,sj,1992,1992-02-12
94,8.0,0.16514824130000016,0.1844667,0.1946143,0.2030571,297.898571429,298.107142857,293.628571429,300.1,296.3,77.2957142857,15.0128571429,2.58571428571,25.7571428571,7.38571428571,21.7,sj,1992,1992-02-19
95,9.0,0.10705,0.0815,0.1652429,0.1630571,297.472857143,297.678571429,292.967142857,299.3,296.3,76.0371428571,14.3814285714,2.41428571429,25.2857142857,6.17142857143,21.7,sj,1992,1992-02-26
96,10.0,0.1736572079500003,0.18218,0.1910857,0.1928571,297.651428571,297.8,293.317142857,299.8,295.7,76.8785714286,14.7014285714,2.31428571429,25.6571428571,7.81428571429,20.6,sj,1992,1992-03-04
97,11.0,0.08685,0.09015,0.128,0.1551,297.634285714,297.785714286,293.54,299.6,296.1,78.0571428571,14.9442857143,2.51428571429,25.7857142857,7.75714285714,21.7,sj,1992,1992-03-11
98,12.0,0.05305,0.08405,0.1417714,0.1345143,297.947142857,298.15,293.708571429,300.4,295.5,77.5057142857,15.1357142857,2.7,26.1,7.85714285714,21.7,sj,1992,1992-03-18
99,13.0,0.013368158129999995,0.05447140100000001,0.1348429,0.1068,297.218571429,297.428571429,293.578571429,300.3,295.8,80.2385714286,14.9685714286,2.8,26.2,5.71428571429,22.2,sj,1992,1992-03-25
100,14.0,0.09995,0.07765,0.1930667,0.1769,297.982857143,298.071428571,293.884285714,300.2,296.0,78.0671428571,15.2642857143,2.74285714286,26.2285714286,7.52857142857,21.7,sj,1992,1992-04-01
101,15.0,0.1039,0.1315,0.1224714,0.1243857,298.682857143,298.878571429,294.195714286,301.6,295.9,76.3757142857,15.6128571429,3.61428571429,26.9857142857,7.84285714286,21.7,sj,1992,1992-04-08
102,16.0,0.07515,0.09743333,0.1590286,0.1729857,297.831428571,298.0,294.942857143,300.4,296.6,84.1842857143,16.3242857143,2.14285714286,26.8142857143,5.88571428571,22.8,sj,1992,1992-04-15
103,17.0,0.0922,0.1137,0.1514143,0.1548286,298.088571429,298.257142857,294.048571429,300.6,296.5,78.4257142857,15.4528571429,2.82857142857,26.6714285714,7.24285714286,22.2,sj,1992,1992-04-22
104,18.0,0.0125,0.0635,0.07031429,0.08944286,298.197142857,298.521428571,293.4,302.1,295.6,74.9328571429,14.9,3.61428571429,27.3714285714,6.5,23.3,sj,1992,1992-04-29
105,19.0,0.10875,0.2169,0.1823286,0.2073571,298.335714286,298.442857143,294.221428571,302.1,296.0,78.48,15.75,3.0,26.7857142857,6.91428571429,22.2,sj,1992,1992-05-06
106,20.0,0.101875,-0.0088,0.1420667,0.1259,298.334285714,298.514285714,294.275714286,300.4,296.4,78.3814285714,15.6871428571,2.22857142857,27.4428571429,5.95714285714,22.8,sj,1992,1992-05-13
107,21.0,0.1024,0.0686,0.06238333,0.0574,298.408571429,298.557142857,295.767142857,301.0,296.8,85.6471428571,17.2328571429,2.71428571429,27.8571428571,6.77142857143,23.3,sj,1992,1992-05-20
108,22.0,0.1215,0.11765685570000002,0.2191571,0.2130143,298.615714286,298.75,296.334285714,301.4,297.0,87.3014285714,17.8328571429,2.35714285714,27.4285714286,5.95714285714,23.9,sj,1992,1992-05-27
109,23.0,0.12165,0.13995,0.1100857,0.1022286,299.104285714,299.228571429,296.522857143,301.0,297.8,85.8271428571,17.9957142857,2.11428571429,27.5,6.91428571429,22.8,sj,1992,1992-06-03
110,24.0,0.08395,0.0856,0.1023714,0.1117714,298.901428571,298.964285714,296.154285714,300.5,297.6,84.87,17.57,1.98571428571,28.2,6.87142857143,24.4,sj,1992,1992-06-10
111,25.0,0.10445,0.15315,0.1811571,0.1920857,298.931428571,298.957142857,296.042857143,301.0,297.0,84.2485714286,17.4414285714,2.0,28.2857142857,6.74285714286,24.4,sj,1992,1992-06-17
112,26.0,0.1302,0.1302,0.13938,0.11475,299.568571429,299.55,296.384285714,301.8,298.0,82.7771428571,17.8071428571,1.72857142857,28.4857142857,7.02857142857,23.9,sj,1992,1992-06-24
113,27.0,0.1194,0.1439,0.1693286,0.1684714,300.177142857,300.378571429,296.275714286,301.8,298.3,79.3342857143,17.6671428571,2.27142857143,29.2285714286,6.64285714286,25.6,sj,1992,1992-07-01
114,28.0,0.16221368750000006,0.192,0.1468571,0.1530714,300.285714286,300.564285714,296.198571429,302.2,298.7,78.4971428571,17.5685714286,2.78571428571,28.7285714286,6.61428571429,24.4,sj,1992,1992-07-08
115,29.0,0.112,0.1255,0.14214,0.1825333,299.79,299.828571429,296.052857143,301.8,298.0,80.15,17.43,2.0,27.6285714286,6.04285714286,23.9,sj,1992,1992-07-15
116,30.0,-0.1396,0.05918,0.1371286,0.1288714,299.227142857,299.371428571,295.875714286,301.1,298.0,81.9842857143,17.2485714286,2.02857142857,27.5571428571,6.85714285714,23.3,sj,1992,1992-07-22
117,31.0,0.0539,0.1261333,0.1337714,0.1499143,299.025714286,299.107142857,295.745714286,300.8,297.7,82.3457142857,17.1142857143,1.81428571429,27.9714285714,6.92857142857,22.8,sj,1992,1992-07-29
118,32.0,0.152675,0.173275,0.1500429,0.1450571,299.755714286,299.914285714,296.158571429,301.5,297.6,80.7842857143,17.5471428571,2.42857142857,28.0714285714,6.1,23.3,sj,1992,1992-08-05
119,33.0,0.16395,0.12665,0.2150571,0.2192714,299.215714286,299.221428571,296.007142857,301.3,297.8,82.75,17.4157142857,1.95714285714,27.6714285714,7.55714285714,22.8,sj,1992,1992-08-12
120,34.0,0.1146,0.1368,0.1855857,0.1925714,299.491428571,299.735714286,296.214285714,301.9,298.3,82.3171428571,17.6014285714,2.24285714286,28.2142857143,6.92857142857,24.4,sj,1992,1992-08-19
121,35.0,0.0875,0.0817,0.1799429,0.2217571,300.067142857,300.157142857,296.057142857,302.2,298.1,78.8642857143,17.4585714286,2.42857142857,28.2714285714,6.82857142857,23.9,sj,1992,1992-08-26
122,36.0,0.16364467434999994,0.2175,0.1240143,0.1256571,300.108571429,300.157142857,296.175714286,302.0,298.4,79.2042857143,17.5642857143,2.2,28.7285714286,7.48571428571,24.4,sj,1992,1992-09-02
123,37.0,0.123975,0.1768,0.2357429,0.2148286,299.727142857,299.757142857,295.937142857,302.2,298.2,79.93,17.3528571429,2.02857142857,28.0285714286,6.54285714286,23.9,sj,1992,1992-09-09
124,38.0,0.0519,0.07226667,0.1775714,0.1588143,299.978571429,300.071428571,296.111428571,302.2,298.4,79.5257142857,17.5414285714,2.34285714286,28.1428571429,7.08571428571,23.9,sj,1992,1992-09-16
125,39.0,0.1435,0.1435,0.1984,0.2122714,299.292857143,299.378571429,296.281428571,301.4,297.9,83.7,17.7514285714,2.04285714286,27.5571428571,7.24285714286,23.3,sj,1992,1992-09-23
126,40.0,0.1972,0.12715,0.1581333,0.09435,299.624285714,299.707142857,296.13,302.3,297.6,81.2971428571,17.6042857143,2.3,27.9714285714,7.22857142857,23.3,sj,1992,1992-09-30
127,41.0,0.137225,0.10745,0.1771857,0.1911,300.267142857,300.328571429,296.424285714,302.8,298.3,79.7371428571,17.8971428571,3.25714285714,28.8857142857,7.8,23.9,sj,1992,1992-10-07
128,42.0,0.3371,0.1979,0.1945857,0.1832286,300.118571429,300.228571429,295.892857143,302.6,297.7,77.8342857143,17.3085714286,2.97142857143,29.1571428571,7.11428571429,25.0,sj,1992,1992-10-14
129,43.0,-0.0156,0.0312,0.1042167,0.1129833,299.848571429,299.914285714,295.645714286,301.6,298.4,77.8757142857,17.0442857143,2.51428571429,28.6571428571,7.45714285714,23.9,sj,1992,1992-10-21
